routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,weighted_cost,worst_case_regret,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",100010100001,"[""100001010001""]",51,0.012451171875,True,False,"[0, 1, 0, 2]",0.2865803050690062,0.3923524817155438,0.2865803050690061,0.0026762974837592603,"{""degradation"": 0.2803211410024344, ""nominal"": 0.299969111969112, ""surge"": 0.2794506622354724}","{""degradation"": 0.3923524817155438, ""nominal"": 0.15203622991010626, ""surge"": 0.13002769956275897}"
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",100100010001,"[""100010001001""]",51,0.012451171875,True,False,"[0, 0, 1, 2]",0.2596138499879547,0.36397784562948254,0.25961384998795467,0.0013066128725800175,"{""degradation"": 0.2740855751825729, ""nominal"": 0.23825482625482636, ""surge"": 0.26650114852646495}","{""degradation"": 0.36397784562948254, ""nominal"": 0.015969763007355118, ""surge"": 0.10245716557096257}"
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",100100010010,"[""10010001001""]",51,0.012451171875,True,False,"[0, 0, 1, 1]",0.27573073948038135,0.21212809770645472,0.2757307394803814,0.002125224568166392,"{""degradation"": 0.24071531115411027, ""nominal"": 0.2927258687258687, ""surge"": 0.29375103856116513}","{""degradation"": 0.21212809770645472, ""nominal"": 0.13606646690275115, ""surge"": 0.1604743263969965}"
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",010001001100,"[""1100100010""]",50,0.01220703125,True,True,"[1, 2, 2, 0]",0.4110847920783898,0.556862145248932,0.41108479207838977,0.009000149816850924,"{""degradation"": 0.3033175207540103, ""nominal"": 0.450007722007722, ""surge"": 0.47992913347343724}","{""degradation"": 0.49699637861251117, ""nominal"": 0.482838463633887, ""surge"": 0.556862145248932}"
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",010001100001,"[""100001100010""]",50,0.01220703125,True,True,"[1, 2, 0, 2]",0.30833510854255153,0.3664560107931553,0.3083351085425516,0.0037812710313532717,"{""degradation"": 0.2746301728980714, ""nominal"": 0.3103629343629345, ""surge"": 0.3400122183666488}","{""degradation"": 0.3664560107931553, ""nominal"": 0.1749523290656499, ""surge"": 0.25896801959572385}"
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",010010100010,"[""10001010010""]",50,0.01220703125,True,False,"[1, 1, 0, 1]",0.3703466882808537,0.5779906058733059,0.37034668828085393,0.006930973364388124,"{""degradation"": 0.1940983708882093, ""nominal"": 0.42708880308880315, ""surge"": 0.48985289086554884}","{""degradation"": 3.7890115197442935e-16, ""nominal"": 0.43230727322255513, ""surge"": 0.5779906058733059}"
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",100001001001,"[""100100100001""]",50,0.01220703125,True,True,"[0, 2, 2, 2]",0.42988543115069844,0.6882553433217354,0.42988543115069844,0.009955074961452925,"{""degradation"": 0.3453482928656139, ""nominal"": 0.48125096525096533, ""surge"": 0.46305703533551623}","{""degradation"": 0.6882553433217354, ""nominal"": 0.5517229637700899, ""surge"": 0.5209401202464864}"
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",100010010001,"[""100010010001""]",49,0.011962890625,True,True,"[0, 1, 1, 2]",0.25841886325433555,0.12322936529555982,0.2584188632543357,0.0012459169103305585,"{""degradation"": 0.21880812683353107, ""nominal"": 0.28690347490347495, ""surge"": 0.26954498802600063}","{""degradation"": 0.11244053113683199, ""nominal"": 0.12322936529555982, ""surge"": 0.10893773945762117}"
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",001001100010,"[""10001100100""]",47,0.011474609375,True,True,"[2, 2, 0, 1]",0.27526647533400533,0.33808137470709354,0.2752664753340057,0.0021016435874664165,"{""degradation"": 0.26839460707820983, ""nominal"": 0.2486486486486486, ""surge"": 0.30875617027515756}","{""degradation"": 0.33808137470709354, ""nominal"": 0.038885862162898244, ""surge"": 0.19242143292689257}"
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",001010001100,"[""1100010100""]",47,0.011474609375,True,True,"[2, 1, 2, 0]",0.2623656721800377,0.33808137470709426,0.2623656721800378,0.0014463838768840377,"{""degradation"": 0.26839460707821, ""nominal"": 0.24864864864864877, ""surge"": 0.27005376081325444}","{""degradation"": 0.33808137470709426, ""nominal"": 0.03888586216289861, ""surge"": 0.11002095676911952}"
