run_id,run_family,S,eta,T,rho,iteration,assignment,all_tied_optima,tie_count,objective_value,weights,regrets,clipped_regrets,pre_mixing_weights,next_weights,weight_entropy,effective_environments,effective_fraction
B4-focused-s3-eta0p5-t5-rho0,B4-focused,3,0.5,5,0.0,1,"[1,0,2,2]","[[1,0,2,2]]",1,0.24649878640245873,"[0.3182572882876324,0.31212920080420586,0.3696135109081618]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3020569668020354,0.29053666135818085,0.40740637183978384]","[0.3020569668020354,0.29053666135818085,0.40740637183978384]",1.0956704952874212,2.9911875883603747,0.9970625294534582
B4-focused-s3-eta0p5-t5-rho0,B4-focused,3,0.5,5,0.0,2,"[1,0,2,2]","[[1,0,2,2]]",1,0.24789865466820138,"[0.3020569668020354,0.29053666135818085,0.40740637183978384]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.2849197236978513,0.2687760959969665,0.44630418030518215]","[0.2849197236978513,0.2687760959969665,0.44630418030518215]",1.0865432579316558,2.964010523694207,0.988003507898069
B4-focused-s3-eta0p5-t5-rho0,B4-focused,3,0.5,5,0.0,3,"[1,0,2,2]","[[1,0,2,2]]",1,0.249325427371878,"[0.2849197236978513,0.2687760959969665,0.44630418030518215]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.26706797998007886,0.24708477795741116,0.48584724206251007]","[0.26706797998007886,0.24708477795741116,0.48584724206251007]",1.07092688299278,2.9180829683589087,0.9726943227863029
B4-focused-s3-eta0p5-t5-rho0,B4-focused,3,0.5,5,0.0,4,"[0,1,1,2]","[[0,1,1,2],[1,0,1,2]]",2,0.2495305199706087,"[0.26706797998007886,0.24708477795741116,0.48584724206251007]","[0.12322936529555982,0.10893773945762117,0.11244053113683199]","[0.12322936529555982,0.10893773945762117,0.11244053113683199]",,,1.048741626343954,2.854057386780633,0.951352462260211
B4-focused-s3-eta1-t3-rho0,B4-focused,3,1.0,3,0.0,0,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.30205696680203536,0.29053666135818085,0.40740637183978373]","[0.30205696680203536,0.29053666135818085,0.40740637183978373]",1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta1-t3-rho0,B4-focused,3,1.0,3,0.0,1,"[1,0,2,2]","[[1,0,2,2]]",1,0.24789865466820132,"[0.30205696680203536,0.29053666135818085,0.40740637183978373]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.2670679799800788,0.24708477795741124,0.48584724206251]","[0.2670679799800788,0.24708477795741124,0.48584724206251]",1.0865432579316558,2.964010523694207,0.988003507898069
B4-focused-s3-eta1-t3-rho0,B4-focused,3,1.0,3,0.0,2,"[0,1,1,2]","[[0,1,1,2],[1,0,1,2]]",2,0.24953051997060868,"[0.2670679799800788,0.24708477795741124,0.48584724206251]","[0.12322936529555982,0.10893773945762117,0.11244053113683199]","[0.12322936529555982,0.10893773945762117,0.11244053113683199]",,,1.048741626343954,2.854057386780633,0.951352462260211
B4-focused-s3-eta1-t5-rho0,B4-focused,3,1.0,5,0.0,0,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.30205696680203536,0.29053666135818085,0.40740637183978373]","[0.30205696680203536,0.29053666135818085,0.40740637183978373]",1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta1-t5-rho0,B4-focused,3,1.0,5,0.0,1,"[1,0,2,2]","[[1,0,2,2]]",1,0.24789865466820132,"[0.30205696680203536,0.29053666135818085,0.40740637183978373]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.2670679799800788,0.24708477795741124,0.48584724206251]","[0.2670679799800788,0.24708477795741124,0.48584724206251]",1.0865432579316558,2.964010523694207,0.988003507898069
B4-focused-s3-eta1-t5-rho0,B4-focused,3,1.0,5,0.0,2,"[0,1,1,2]","[[0,1,1,2],[1,0,1,2]]",2,0.24953051997060868,"[0.2670679799800788,0.24708477795741124,0.48584724206251]","[0.12322936529555982,0.10893773945762117,0.11244053113683199]","[0.12322936529555982,0.10893773945762117,0.11244053113683199]","[0.2694172118698043,0.24572125934743616,0.4848615287827595]","[0.2694172118698043,0.24572125934743616,0.4848615287827595]",1.048741626343954,2.854057386780633,0.951352462260211
