S,eta,T,rho,baseline_run_id,mixed_run_id,baseline_assignment,mixed_assignment,route_changed,validation_survival_delta,validation_worst_regret_improvement,final_survival_delta,final_worst_regret_improvement,effective_fraction_increase
12,0.5,3,0.25,B4-focused-s12-eta0p5-t3-rho0,B5-diversity-s12-eta0p5-t3-rho0p25,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0022205640091215173
12,0.5,3,0.5,B4-focused-s12-eta0p5-t3-rho0,B5-diversity-s12-eta0p5-t3-rho0p5,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0033665192247259723
12,0.5,5,0.1,B4-focused-s12-eta0p5-t5-rho0,B5-diversity-s12-eta0p5-t5-rho0p1,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.006764352672627649
12,0.5,5,0.25,B4-focused-s12-eta0p5-t5-rho0,B5-diversity-s12-eta0p5-t5-rho0p25,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.012544113970515802
12,0.5,5,0.5,B4-focused-s12-eta0p5-t5-rho0,B5-diversity-s12-eta0p5-t5-rho0p5,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.01614752845655798
12,1.0,3,0.1,B4-focused-s12-eta1-t3-rho0,B5-diversity-s12-eta1-t3-rho0p1,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.004478073758134027
12,1.0,3,0.25,B4-focused-s12-eta1-t3-rho0,B5-diversity-s12-eta1-t3-rho0p25,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.009574623789610048
12,1.0,3,0.5,B4-focused-s12-eta1-t3-rho0,B5-diversity-s12-eta1-t3-rho0p5,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.01460586088754845
12,1.0,5,0.1,B4-focused-s12-eta1-t5-rho0,B5-diversity-s12-eta1-t5-rho0p1,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.029978454696019452
12,1.0,5,0.25,B4-focused-s12-eta1-t5-rho0,B5-diversity-s12-eta1-t5-rho0p25,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.056738910164202294
12,1.0,5,0.5,B4-focused-s12-eta1-t5-rho0,B5-diversity-s12-eta1-t5-rho0p5,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.07397953594873863
