routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,current_objective,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",000010000010,"[""010000010000""]",4,0.0009765625,False,False,,,1.721231600071019,0.07554534145956135,{},{}
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",000010100010,"[""010001010000""]",4,0.0009765625,False,False,,,0.9267359401590117,0.03519118753909196,{},{}
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",000011000100,"[""001000110000""]",4,0.0009765625,False,False,,,3.0209682012822308,0.1415617761713053,{},{}
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",000100000000,"[""000000001000""]",4,0.0009765625,False,False,,,2.36185171846671,0.10808382362716963,{},{}
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",000100001100,"[""001100001000""]",4,0.0009765625,False,False,,,0.9758806944878216,0.03768735596471696,{},{}
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",000100010000,"[""000010001000""]",4,0.0009765625,False,False,,,1.601214119849253,0.06944939391146218,{},{}
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",000100100010,"[""010001001000""]",4,0.0009765625,False,False,,,0.8883961867183139,0.033243828491479145,{},{}
"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",000100101001,"[""100101001000""]",4,0.0009765625,False,False,,,2.281082522754286,0.10398138138579521,{},{}
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",000101000010,"[""010000101000""]",4,0.0009765625,False,False,,,2.993391820914375,0.1401611121348811,{},{}
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0]",000101000110,"[""011000101000""]",4,0.0009765625,False,False,,,4.322753675546174,0.20768227757932625,{},{}
"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",000101010000,"[""000010101000""]",4,0.0009765625,False,False,,,2.993391820914375,0.1401611121348811,{},{}
